team,distance,duration,timestamp,seconds_moving,5km_time,leg_number_for_team,Elevation,Penalty,
Twelve Kitties,5029.6,1199,1/5/2020 0:21,1199,1191.943693,1,,,
MMI Adventure Racing,5112.5,1341,1/5/2020 0:26,1341,1314.425428,1,,,
Unicorn Trail Team 1,5054.1,1623,1/5/2020 0:32,1623,1605.627115,1,,,
MMI Adventure Racing,5047.3,1423,1/5/2020 1:02,1423,1409.664573,2,,,
Twelve Kitties,5149,1831,1/5/2020 1:12,1831,1778.015149,2,,,
Twelve Kitties,5045.8,1333,1/5/2020 1:41,1333,1329.818859,3,,,
Twelve Kitties,5024.7,1529,1/5/2020 2:26,1529,1531.434713,4,,,
Twelve Kitties,5218.3,1480,1/5/2020 3:17,1480,1418.08635,5,,,
Twelve Kitties,5207.4,1502,1/5/2020 4:04,1502,1442.178438,6,,,
MS/MR,5038,1435,1/5/2020 4:04,1435,1696.109567,1,,,
MS/MR,5141.8,1488,1/5/2020 4:38,1488,1482.943716,2,,,
MS/MR,5010,1538,1/5/2020 5:08,1538,1534.93014,3,,,
Twelve Kitties,5031,1472,1/5/2020 5:39,1472,1462.929835,7,,,
Unicorn Trail Team 1,5010.8,1456,1/5/2020 5:55,1456,1460.844576,2,,,
Straight Outta Stompton,5010.5,1282,1/5/2020 6:06,1282,1279.313442,1,,,
Twelve Kitties,5097,1688,1/5/2020 6:16,1688,1662.74279,8,,,
MS/MR,5051.4,1395,1/5/2020 6:16,1395,1406.540761,4,,,
WhorunstheworldGIRLS,5039.3,1712,1/5/2020 6:27,1712,1715.516044,1,,,
Asante sana squash banana,5042.9,1436,1/5/2020 6:32,1436,1438.656329,1,,,
Twelve Kitties,5184.4,1690,1/5/2020 6:51,1690,1629.889669,9,,,
The Sensei Garys,5105.2,2037,1/5/2020 6:51,2037,2514.103267,1,,,
Unicorn Trail Team 1,5453.6,1850,1/5/2020 7:12,1850,1696.127329,3,,,
Poko Fish,5127.7,2239,1/5/2020 7:17,2239,2220.293699,1,,,
Straight Outta Stompton,5016.6,1414,1/5/2020 7:27,1414,1409.321054,2,,,
Footpussys,14279,4248,1/5/2020 7:27,4248,1526.367393,1,,,
