team,Date,Total Distance,Total Duration,timestamp,Seconds Moving,5km Time,Leg Number for Team,5km Elevation,Color
Canberra Kitties,May 31st 2020,5.06,1514,6/1/2020 0:35,1514,1496.047431,1,28.46,Red
Twelve Kitties,May 31st 2020,5.01,1200,6/1/2020 0:41,1200,1197.60479,1,32.93,#CCCCFF
Twelve Kitties,May 31st 2020,5.01,1474,6/1/2020 1:30,1474,1471.057884,2,4.99,#CCCCFF
Twelve Kitties,May 31st 2020,5.11,1907,6/1/2020 1:55,1907,1865.949119,3,26.42,#CCCCFF
International Super Spreaders,May 31st 2020,5.16,2100,6/1/2020 2:37,2100,2034.883721,1,83.72,#FFD700
Twelve Kitties,May 31st 2020,5.03,1733,6/1/2020 2:55,1733,1722.664016,4,44.73,#CCCCFF
Twelve Kitties,May 31st 2020,5.23,1337,6/1/2020 3:30,1337,1278.202677,5,18.36,#CCCCFF
Twelve Kitties,May 31st 2020,5.03,1399,6/1/2020 4:21,1399,1390.656064,6,19.88,#CCCCFF
Twelve Kitties,May 31st 2020,5.04,1357,6/1/2020 4:53,1357,1346.230159,7,40.67,#CCCCFF
Twelve Kitties,May 31st 2020,5.05,1818,6/1/2020 6:03,1818,1800,8,16.83,#CCCCFF
RIOT Runners,May 31st 2020,5.19,2400,6/1/2020 6:12,2400,2312.138728,1,14.45,#FFA500
WhorunstheworldGIRLS,May 31st 2020,5.04,1933,6/1/2020 6:31,1933,1917.65873,1,16.87,#1DD5EE
Footpussys,May 31st 2020,5.02,1542,6/1/2020 6:45,1542,1535.856574,1,71.71,Orange
Asante Sana Squash Banana,May 31st 2020,5.07,1462,6/1/2020 6:50,1462,1441.814596,1,31.36,#E52B50
Twelve Kitties,May 31st 2020,5.01,1316,6/1/2020 7:01,1316,1313.373253,9,17.96,#CCCCFF
his life,May 31st 2020,5.01,1521,6/1/2020 7:01,1521,1517.964072,1,11.98,#FF985E
WhorunstheworldGIRLS,May 31st 2020,5.03,1717,6/1/2020 7:11,1717,1706.759443,2,13.92,#1DD5EE
Poko Fish,May 31st 2020,5.04,2035,6/1/2020 7:22,2035,2018.849206,1,85.62,#9966CC
Spunky Monkeys,May 31st 2020,5.27,2103,6/1/2020 7:22,2103,1995.256167,1,39.18,#00A86B
Twelve Kitties,May 31st 2020,5.02,1490,6/1/2020 7:33,1490,1484.063745,10,20.92,#CCCCFF
RIOT Runners,May 31st 2020,5.02,1773,6/1/2020 8:15,1773,1765.936255,2,76.69,#FFA500
Souls of the Sahara,May 31st 2020,5.02,1826,6/1/2020 8:25,1826,1818.7251,1,29.88,Cyan
Footpussys,June 1st 2020,5.04,1725,6/1/2020 10:57,1725,1711.309524,2,6.94,Orange
International Super Spreaders,June 1st 2020,5.4,1989,6/1/2020 12:28,1989,1841.666667,2,0.00,#FFD700
Twelve Kitties,June 1st 2020,5.16,1824,6/1/2020 13:12,1824,1767.44186,11,20.35,#CCCCFF
International Super Spreaders,June 1st 2020,5.07,1411,6/1/2020 13:12,1411,1391.518738,3,46.35,#FFD700
Asante Sana Squash Banana,June 1st 2020,5.02,1774,6/1/2020 13:31,1774,1766.932271,2,63.05,#E52B50
Twelve Kitties,June 1st 2020,5.03,1588,6/1/2020 13:47,1588,1578.528827,12,45.73,#CCCCFF
International Super Spreaders,June 1st 2020,5.06,2018,6/1/2020 14:02,2018,1994.071146,4,24.70,#FFD700
Canberra Kitties,June 1st 2020,14.69,25450,6/1/2020 14:42,25450,8662.355344,2,262.42,Red
RIOT Runners,June 1st 2020,5,2265,6/1/2020 15:02,2265,2265,4,5.00,#FFA500
Twelve Kitties,June 1st 2020,5.04,1405,6/1/2020 16:01,1405,1393.849206,13,11.81,#CCCCFF
International Super Spreaders,June 1st 2020,5.09,1585,6/1/2020 16:06,1585,1556.97446,5,75.64,#FFD700
Twelve Kitties,June 1st 2020,5.02,1256,6/1/2020 16:30,1256,1250.996016,14,18.92,#CCCCFF
Poko Fish,1/6/2020 16:26,5.32,4860,6/1/2020 16:33,4860,4567.669173,2,19.74,"Simpson, Kate"
Spunky Monkeys,June 1st 2020,5.02,1409,6/1/2020 17:06,1409,1403.386454,2,53.19,#00A86B
Footpussys,June 1st 2020,5.17,1528,6/1/2020 17:11,1528,1477.756286,3,15.47,Orange
Canberra Kitties,June 1st 2020,7.47,2913,6/1/2020 17:11,2913,1949.799197,3,202.14,Red
Twelve Kitties,June 1st 2020,5.23,1378,6/1/2020 17:17,1378,1317.399618,15,57.36,#CCCCFF
International Super Spreaders,June 1st 2020,5,1245,6/1/2020 17:17,1245,1245,6,0.00,#FFD700
Unicorns on the Run!,June 1st 2020,5.26,1738,6/1/2020 17:22,1738,1652.091255,1,137.83,White
Spunky Monkeys,June 1st 2020,5.04,1443,6/1/2020 17:36,1443,1431.547619,3,37.70,#00A86B
Twelve Kitties,June 1st 2020,5.03,1400,6/1/2020 17:45,1400,1391.650099,16,18.89,#CCCCFF
Poko Fish,June 1st 2020,5.2,3628,6/1/2020 17:51,3628,3488.461538,3,84.04,#9966CC
Spunky Monkeys,June 1st 2020,5.03,1400,6/1/2020 18:04,1400,1391.650099,4,3.98,#00A86B
International Super Spreaders,June 1st 2020,5.01,2000,6/1/2020 18:09,2000,1996.007984,7,80.34,#FFD700
Twelve Kitties,June 1st 2020,5.02,1262,6/1/2020 18:19,1262,1256.972112,17,21.91,#CCCCFF
Footpussys,June 1st 2020,5.04,1548,6/1/2020 18:30,1548,1535.714286,4,43.65,Orange
Twelve Kitties,June 1st 2020,5.01,1473,6/1/2020 19:00,1473,1470.05988,18,1.00,#CCCCFF
RIOT Runners,June 1st 2020,5.02,1976,6/1/2020 19:10,1976,1968.12749,5,29.88,#FFA500
Footpussys,June 1st 2020,5.01,1416,6/1/2020 19:20,1416,1413.173653,5,0.00,Orange
Twelve Kitties,June 1st 2020,5.18,1928,6/1/2020 20:06,1928,1861.003861,19,5.79,#CCCCFF
Spunky Monkeys,June 1st 2020,5.07,1807,6/1/2020 20:21,1807,1782.051282,5,21.70,#00A86B
Unicorns on the Run!,June 1st 2020,5.29,1896,6/1/2020 20:26,1896,1792.060491,2,77.98,White
Twelve Kitties,June 1st 2020,5.02,1610,6/1/2020 20:37,1610,1603.585657,20,45.82,#CCCCFF
Spunky Monkeys,June 1st 2020,5.12,1470,6/1/2020 20:54,1470,1435.546875,6,13.67,#00A86B
Twelve Kitties,June 1st 2020,5.06,1430,6/1/2020 21:08,1430,1413.043478,21,11.46,#CCCCFF
Spunky Monkeys,June 1st 2020,5.35,1455,6/1/2020 21:24,1455,1359.813084,7,5.23,#00A86B
WhorunstheworldGIRLS,1/6/2020 21:30,5.01,2600,6/1/2020 21:32,2600,2594.810379,3,34.93,"Morris, Dee"
Twelve Kitties,June 1st 2020,5.4,1562,6/1/2020 21:43,1562,1446.296296,22,12.04,#CCCCFF
Spunky Monkeys,June 1st 2020,5.16,1420,6/1/2020 21:58,1420,1375.968992,8,8.33,#00A86B
Twelve Kitties,June 1st 2020,5.33,1414,6/1/2020 22:14,1414,1326.454034,23,36.59,#CCCCFF
RIOT Runners,June 1st 2020,5.02,1768,6/1/2020 22:14,1768,1760.956175,6,78.69,#FFA500
International Super Spreaders,June 1st 2020,5.15,2144,6/1/2020 22:28,2144,2081.553398,8,0.00,#FFD700
Spunky Monkeys,June 1st 2020,5.02,1926,6/1/2020 22:34,1926,1918.326693,9,45.82,#00A86B
Twelve Kitties,June 1st 2020,5.03,1803,6/1/2020 22:54,1803,1792.246521,24,75.55,#CCCCFF
International Super Spreaders,June 1st 2020,5.01,1326,6/1/2020 23:18,1326,1323.353293,9,23.95,#FFD700
Twelve Kitties,June 1st 2020,5.02,1284,6/1/2020 23:23,1284,1278.884462,25,14.94,#CCCCFF
International Super Spreaders,June 1st 2020,5.31,1588,6/1/2020 23:49,1588,1495.291902,10,38.61,#FFD700
Twelve Kitties,June 1st 2020,5.03,1534,6/1/2020 23:54,1534,1524.850895,26,8.95,#CCCCFF
Twelve Kitties,June 1st 2020,5.16,1976,6/2/2020 0:35,1976,1914.728682,27,4.84,#CCCCFF
Twelve Kitties,June 1st 2020,5.06,1588,6/2/2020 1:08,1588,1569.16996,28,43.48,#CCCCFF
Twelve Kitties,June 1st 2020,5.02,1428,6/2/2020 1:38,1428,1422.310757,29,10.26,#CCCCFF
Twelve Kitties,June 1st 2020,5.23,1799,6/2/2020 2:17,1799,1719.885277,30,5.74,#CCCCFF
Twelve Kitties,June 1st 2020,5.34,1630,6/2/2020 3:28,1630,1526.217228,31,37.45,#CCCCFF
Spunky Monkeys,June 1st 2020,5.01,1367,6/2/2020 5:24,1367,1364.271457,10,19.76,#00A86B
Twelve Kitties,June 1st 2020,5.02,1851,6/2/2020 5:58,1851,1843.625498,32,43.82,#CCCCFF
Spunky Monkeys,June 1st 2020,5,1500,6/2/2020 6:08,1500,1500,11,0.00,#00A86B
International Super Spreaders,June 1st 2020,5.03,1806,6/2/2020 6:08,1806,1795.228628,11,22.86,#FFD700
Spunky Monkeys,June 1st 2020,5.03,1344,6/2/2020 6:34,1344,1335.984095,12,13.92,#00A86B
Twelve Kitties,June 1st 2020,5.03,1782,6/2/2020 6:43,1782,1771.371769,33,185.88,#CCCCFF
International Super Spreaders,June 1st 2020,5.31,1657,6/2/2020 6:48,1657,1560.263653,12,52.73,#FFD700
WhorunstheworldGIRLS,June 1st 2020,5.22,2158,6/2/2020 7:09,2158,2067.049808,4,42.53,#1DD5EE
Canberra Kitties,June 1st 2020,6.37,1976,6/2/2020 7:20,1976,1551.020408,4,28.26,Red
Asante Sana Squash Banana,June 1st 2020,5.02,1774,6/2/2020 7:00,1774,1766.932271,3,63.05,#E52B50
International Super Spreaders,June 1st 2020,5.12,1451,6/2/2020 7:35,1451,1416.992188,13,6.74,#FFD700
Unicorns on the Run!,June 1st 2020,14.68,5423,6/2/2020 7:40,5423,1847.070845,3,142.71,White
Spunky Monkeys,June 1st 2020,5.07,1867,6/2/2020 7:45,1867,1841.22288,13,23.67,#00A86B
Twelve Kitties,June 1st 2020,5.26,1745,6/2/2020 7:56,1745,1658.745247,34,69.39,#CCCCFF
his life,June 1st 2020,12.78,4423,6/2/2020 8:10,4423,1730.438185,2,93.11,#FF985E
Spunky Monkeys,June 1st 2020,5.06,1565,6/2/2020 8:16,1565,1546.442688,14,8.89,#00A86B
Asante Sana Squash Banana,June 1st 2020,5.03,1861,6/2/2020 8:16,1861,1849.900596,5,42.74,#E52B50
International Super Spreaders,June 1st 2020,5.08,1983,6/2/2020 8:16,1983,1951.771654,14,87.40,#FFD700
